year_month,data_type,total_sales,avg_sales,std_sales,avg_inventory,avg_price
2014-01,Historical,4079.0,131.58064516129033,67.50495003753348,4240.806451612903,1.151290322580645
2014-02,Historical,2128.0,76.0,71.49980574954186,4864.214285714285,1.132857142857143
2014-03,Historical,2308.0,74.45161290322581,38.17664094676868,4680.1612903225805,1.1961290322580644
2014-04,Historical,1990.0,66.33333333333333,43.179922963414796,1975.1666666666667,1.1966666666666665
2014-05,Historical,2493.0,80.41935483870968,37.85214586039422,2036.032258064516,1.3461290322580646
2014-06,Historical,2629.0,87.63333333333334,86.09597024224783,2325.733333333333,1.2933333333333332
2014-07,Historical,1131.0,36.483870967741936,81.13892241817608,974.0322580645161,1.2506451612903227
2014-08,Historical,1581.0,51.0,77.68140060529291,1116.3870967741937,1.3180645161290323
2014-09,Historical,2185.0,72.83333333333333,59.10719854248069,1788.9666666666667,1.29
2014-10,Historical,2765.0,89.19354838709677,33.7643000370102,1864.8387096774193,1.3029032258064517
2014-11,Historical,1462.0,48.733333333333334,108.52329587294352,227.73333333333332,1.4166666666666667
2014-12,Historical,1010.0,32.58064516129032,52.82472539354299,191.32258064516128,1.3674193548387097
2015-01,Historical,2465.0,79.51612903225806,42.38071178239927,1368.6774193548388,1.3287096774193548
2015-02,Historical,1918.0,68.5,40.769905386021996,993.75,2.25
2015-03,Historical,3379.0,109.0,95.43095235125062,758.7096774193549,1.7932258064516131
2015-04,Historical,2123.0,70.76666666666667,41.82119849643433,910.4,1.4416666666666667
2015-05,Historical,647.0,20.870967741935484,63.627950847345836,30.193548387096776,1.393548387096774
2015-06,Historical,2880.0,96.0,61.86303001598467,948.4,1.317
2015-07,Historical,3104.0,100.12903225806451,61.97942773506053,1051.1290322580646,1.287741935483871
2015-08,Historical,1826.0,58.903225806451616,67.06879793103481,1218.741935483871,1.274516129032258
2015-09,Historical,2790.0,93.0,67.7082992926528,824.4666666666667,1.4513333333333334
2015-10,Historical,3974.0,128.19354838709677,79.11654667001869,1121.0645161290322,1.472258064516129
2015-11,Historical,3214.0,107.13333333333334,64.56578219060819,603.7,2.119666666666667
2015-12,Historical,3914.0,126.25806451612904,108.3669592148011,1470.1612903225807,1.8532258064516127
2016-01,Historical,2365.0,76.29032258064517,90.53441097114663,1096.516129032258,1.4096774193548385
2016-02,Historical,2832.0,97.65517241379311,60.74259264779826,1513.5862068965516,2.1586206896551725
2016-03,Historical,2206.0,71.16129032258064,30.417206505741174,1602.1935483870968,2.3770967741935483
2016-04,Historical,4028.0,134.26666666666668,60.40434634586543,2147.0333333333333,2.4266666666666667
2016-05,Historical,4407.0,142.16129032258064,95.06702785375293,2201.6774193548385,2.2629032258064514
2016-06,Historical,6347.0,211.56666666666666,119.05422796105269,2382.5,2.2376666666666667
2016-07,Historical,5154.0,166.25806451612902,77.48331766341083,1867.1290322580646,2.2448387096774196
2016-08,Forecast,5410.244537353516,174.52401733398438,0.0,,
2016-09,Forecast,5235.720520019531,174.52401733398438,0.0,,
2016-10,Forecast,5061.196502685547,174.52401733398438,0.0,,
