model,MAE,RMSE,MAPE
XGBoost,31.37637602355745,50.13095289128173,28.50469445321379
Random Forest,32.79322222222223,49.38370553352818,23.441913458398382
Prophet,90.04517602691864,112.65669205493249,370.8943608676687
